name	id	nutrients	usda_id	energy	usda_equivalent
Blood sausage	/m/01fl6z	/m/07x5rmn,/m/07x5rlj,/m/07x5rmg,/m/07x5rlq,/m/07x5rhw,/m/07x5rv9,/m/07x5rt5,/m/07x5rqh,/m/07x5rmv,/m/07x5rrw,/m/07x5rnz,/m/07x5rjg,/m/07x5rr7,/m/07x5rrp,/m/07x5rnl,/m/07x5rn0,/m/07x5rj7,/m/07x5rhp,/m/07x5rk0,/m/07x5rsm,/m/07x5rk6,/m/07x5rs1,/m/07x5rjn,/m/07x5rrg,/m/07x5rtr,/m/07x5rs7,/m/07x5rtk,/m/07x5rhg,/m/07x5rty,/m/07x5rs_,/m/07x5rqw,/m/07x5rkz,/m/07x5rj1,/m/07x5rqp,/m/07x5rlb,/m/07x5rpk,/m/07x5rpy,/m/07x5rkd,/m/07x5rm8,/m/07x5rq3,/m/07x5rpr,/m/07x5rn6,/m/07x5rnd,/m/07x5rh8,/m/07x5rp4,/m/07x5rlx,/m/07x5rl4,/m/07x5rtc,/m/07x5rst,/m/07x5rks,/m/07x5rns,/m/07x5rkl,/m/07x5rsf,/m/07x5rjv,/m/07x5rq9,/m/07x5rvh,/m/07x5rr1,/m/07x5rv3,/m/07x5rm2		1586.0	07005
Cherimoya	/m/02smmm	/m/07x6595,/m/07x65b9,/m/07x659r,/m/07x6563,/m/07x656q,/m/07x6579,/m/07x65b3,/m/07x657h,/m/07x659c,/m/07x658t,/m/07x657p,/m/07x656j,/m/07x658m,/m/07x6581,/m/07x659y,/m/07x6569,/m/07x658_,/m/07x659k,/m/07x6573,/m/07x656y,/m/07x655r,/m/07x6587,/m/07x655y,/m/07x657w,/m/07x658f		311.0	09062
Custard-apple	/m/02qczf	/m/07x67tc,/m/07x67s6,/m/07x67w1,/m/07x67sm,/m/07x67sd,/m/07x67st,/m/07x67wf,/m/07x67ty,/m/07x67s0,/m/07x67wt,/m/07x67s_,/m/07x67wm,/m/07x67w7,/m/07x67v3,/m/07x67vp,/m/07x67tk,/m/07x67t5,/m/07x67rv,/m/07x67tr,/m/07x67w_,/m/07x67vh,/m/07x67vw,/m/07x67v9,/m/07x67rn		423.0	09086
Jalapeño	/m/02f1qx	/m/07x9gn2,/m/07x9grp,/m/07x9gp1,/m/07x9gtk,/m/07x9gnn,/m/07x9gvw,/m/07x9gvp,/m/07x9gw1,/m/07x9gy9,/m/07x9gty,/m/07x9gqc,/m/07x9gv3,/m/07x9g_c,/m/07x9gqy,/m/07x9gz1,/m/07x9gnv,/m/07x9gp7,/m/07x9gzt,/m/07x9gp_,/m/07x9gwf,/m/07x9gxy,/m/07x9gn8,/m/07x9gwt,/m/07x9gxk,/m/07x9gxc,/m/07x9gs7,/m/07x9grw,/m/07x9gx5,/m/07x9gyw,/m/07x9gtc,/m/07x9g_5,/m/07x9gw7,/m/07x9grh,/m/07x9gr3,/m/07x9gw_,/m/07x9gyp,/m/07x9gz7,/m/07x9gst,/m/07x9gtr,/m/07x9gpm,/m/07x9gxr,/m/07x9g_r,/m/07x9gv9,/m/07x9gyh,/m/07x9gvh,/m/07x9gt5,/m/07x9g_k,/m/07x9gpt,/m/07x9gzf,/m/07x9gs_,/m/07x9gsm,/m/07x9gsf,/m/07x9gpf,/m/07x9gzm,/m/07x9gng,/m/07x9gr9,/m/07x9gs1,/m/07x9gwm,/m/07x9gqr,/m/07x9gy3,/m/07x9gqk,/m/07x9gq5,/m/07x9g_y,/m/07x9gz_		124.0	11979
Solanum muricatum	/m/0cxz2b	/m/07x6p3w,/m/07x6pb9,/m/07x6py9,/m/07x6qbp,/m/07x6p5c,/m/07x6ps1,/m/07x6pn9,/m/07x6q35,/m/07x6pz1,/m/07x6q5f,/m/07x6qns,/m/07x6pct,/m/07x6q4p,/m/07x6ptk,/m/07x6pp1,/m/07x6pl1,/m/07x6q65,/m/07x6q11,/m/07x6qcf,/m/07x6pc1,/m/07x6q3y,/m/07x6qgr,/m/07x6qpj,/m/07x6qn0,/m/07x6q8f,/m/07x6pdt,/m/07x6pk9,/m/07x6pr9,/m/07x6qfp,/m/07x6ph1,/m/07x6pxk,/m/07x6q95,/m/07x6plt,/m/07x6qdy,/m/07x6qkr,/m/07x6qj_,/m/07x6pv9,/m/07x6pht,/m/07x6pqk,/m/07x6pg9,/m/07x6pmk,/m/07x6p8p,/m/07x6p_k,/m/07x6qj7,/m/07x6q9y,/m/07x6q09,/m/07x6pw1,/m/07x6qd5,/m/07x6q1t,/m/07x6p6w,/m/07x6pzt,/m/07x6qlh,/m/07x6pwt,/m/07x6pfk,/m/07x6p4m,/m/07x6qm7,/m/07x6qhh,/m/07x6pjk,/m/07x6p9f,/m/07x6p7y,/m/07x6ppt,/m/07x6p63,/m/07x6q7p,/m/07x6q6y,/m/07x6pst		150.0	09184
Cröonchy Stars	/m/049cbr				
Sour mix	/m/078tz	/m/07x9z3w,/m/07x9z0w,/m/07x9z0h,/m/07x9y_q,/m/07x9z0p,/m/07x9y_j,/m/07x9z39,/m/07x9y_x,/m/07x9y_4,/m/07x9y_b,/m/07x9z3h,/m/07x9z2c,/m/07x9z2k,/m/07x9z2y,/m/07x9z09,/m/07x9z1f,/m/07x9z1t,/m/07x9z25,/m/07x9z1m,/m/07x9z11,/m/07x9z2r,/m/07x9z03,/m/07x9z1_,/m/07x9z3p,/m/07x9z33,/m/07x9z17		364.0	14028
Shrimp	/m/0dqc4	/m/07xc33j,/m/07xc3t4,/m/07xc3sd,/m/07xc3_d,/m/07xc4px,/m/07xc49v,/m/07xc3dh,/m/07xc4gn,/m/07xc41q,/m/07xc4jg,/m/07xc3g5,/m/07xc3vq,/m/07xc4p4,/m/07xc31w,/m/07xc3by,/m/07xc3nl,/m/07xc4cb,/m/07xc4d2,/m/07xc44v,/m/07xc46k,/m/07xc365,/m/07xc440,/m/07xc3rn,/m/07xc4mn,/m/07xc3qx,/m/07xc3cr,/m/07xc3zn,/m/07xc38f,/m/07xc4k6,/m/07xc4bl,/m/07xc4nd,/m/07xc3pb,/m/07xc3wj,/m/07xc36y,/m/07xc3l1,/m/07xc2_k,/m/07xc3y0,/m/07xc45l,/m/07xc397,/m/07xc3tz,/m/07xc3k9,/m/07xc47j,/m/07xc42j,/m/07xc4qn,/m/07xc30b,/m/07xc34l,/m/07xc35d,/m/07xc404,/m/07xc3ff,/m/07xc32m,/m/07xc3ys,/m/07xc3ms,/m/07xc438,/m/07xc3m0,/m/07xc40z,/m/07xc3q2,/m/07xc4fx,/m/07xc37p,/m/07xc3x8,/m/07xc3jk,/m/07xc4dv,/m/07xc312,/m/07xc488,/m/07xc3hr,/m/07xc4kz,/m/07xc492,/m/07xc4lx,/m/07xc3b4,/m/07xc3g_,/m/07xc4hn		444.0	15149
Pulasan	/m/0272ryv	/m/07x787l,/m/07x78fz,/m/07x786g,/m/07x78bn,/m/07x78cd,/m/07x78f4,/m/07x786v,/m/07x789j,/m/07x78dj,/m/07x78cs,/m/07x78h2,/m/07x789x,/m/07x7894,/m/07x7880,/m/07x78gb,/m/07x78c0,/m/07x788s,/m/07x78fl,/m/07x78hg,/m/07x78gq,/m/07x78b8,/m/07x78d4,/m/07x788d,/m/07x7862,/m/07x7876,/m/07x78hv		343.0	09301
Whipped topping	/m/03bxcg5				
Common bean	/m/02gydl	/m/07xcffb,/m/07xcfjq,/m/07xcfl6,/m/07xcdt6,/m/07xcdvs,/m/07xcdsv,/m/07xcf00,/m/07xcf8g,/m/07xcf49,/m/07xcdsg,/m/07xcf1x,/m/07xcfbb,/m/07xcdwx,/m/07xcfcv,/m/07xcfd6,/m/07xcfgg,/m/07xcf2n,/m/07xcfcg,/m/07xcflz,/m/07xcd_8,/m/07xcf9l,/m/07xcdyd,/m/07xcf82,/m/07xcdy0,/m/07xcdys,/m/07xcfll,/m/07xcdtl,/m/07xcd_n,/m/07xcf1j,/m/07xcfg2,/m/07xcfkg,/m/07xcf7b,/m/07xcdw4,/m/07xcfgv,/m/07xcf30,/m/07xcffq,/m/07xcfc2,/m/07xcfhz,/m/07xcdwj,/m/07xcf28,/m/07xcf0s,/m/07xcdx8,/m/07xcf8v,/m/07xcdz4,/m/07xcfhl,/m/07xcf14,/m/07xcf3d,/m/07xcdvb,/m/07xcf7q,/m/07xcdzx,/m/07xcfk2,/m/07xcfh6,/m/07xcfdl,/m/07xcf6l,/m/07xcdtz,/m/07xcdzj,/m/07xcf3s,/m/07xcds2,/m/07xcfdz,/m/07xcf6z,/m/07xcdxn,/m/07xcfkv,/m/07xcfbq,/m/07xcfmb,/m/07xcfjb,/m/07xcf9z,/m/07xcdrq,/m/07xcf96,/m/07xcf0d		1411.0	16037
Cream cheese	/m/02p2nn	/m/07x4n_x,/m/07x4nn7,/m/07x4nt4,/m/07x4nm9,/m/07x4p16,/m/07x4nvn,/m/07x4ny2,/m/07x4nwd,/m/07x4p1d,/m/07x4nxq,/m/07x4ns0,/m/07x4nmp,/m/07x4ntb,/m/07x4nyg,/m/07x4nps,/m/07x4nsl,/m/07x4nss,/m/07x4nvv,/m/07x4p0v,/m/07x4nmh,/m/07x4nqx,/m/07x4nqb,/m/07x4nx4,/m/07x4nxj,/m/07x4ny8,/m/07x4nzz,/m/07x4nzl,/m/07x4n_b,/m/07x4nrn,/m/07x4nsz,/m/07x4nsd,/m/07x4n_q,/m/07x4p02,/m/07x4nwl,/m/07x4npd,/m/07x4npz,/m/07x4p0g,/m/07x4nrg,/m/07x4ntx,/m/07x4nmw,/m/07x4p08,/m/07x4nq4,/m/07x4np0,/m/07x4ntq,/m/07x4nnn,/m/07x4npl,/m/07x4nw6,/m/07x4nzs,/m/07x4nqj,/m/07x4nws,/m/07x4nxx,/m/07x4nzd,/m/07x4n_4,/m/07x4nwz,/m/07x4nv2,/m/07x4nz6,/m/07x4nxb,/m/07x4p0n,/m/07x4nyv,/m/07x4nw0,/m/07x4nr2,/m/07x4ns6,/m/07x4nrv,/m/07x4nqq,/m/07x4nv8,/m/07x4n_j,/m/07x4nnf,/m/07x4nn1,/m/07x4nr8,/m/07x4np6,/m/07x4p10,/m/07x4ntj,/m/07x4nvg,/m/07x4nyn,/m/07x4nnv,/m/07x4nz0		1431.0	01017
Ficus platypoda	/m/04f1dqc	/m/07x69f3,/m/07x6b58,/m/07x68hs,/m/07x68l0,/m/07x69my,/m/07x6bb2,/m/07x69bw,/m/07x69jk,/m/07x68f6,/m/07x696c,/m/07x68w2,/m/07x6942,/m/07x68cx,/m/07x69q5,/m/07x6b8n,/m/07x69p1,/m/07x68st,/m/07x69xy,/m/07x68x6,/m/07x69kp,/m/07x68m4,/m/07x6b44,/m/07x68jx,/m/07x6956,/m/07x689n,/m/07x690q,/m/07x69lt,/m/07x68rn,/m/07x68gb,/m/07x6b0b,/m/07x68pd,/m/07x6bc6,/m/07x68qj,/m/07x697h,/m/07x6b2l,/m/07x698m,/m/07x68bs,/m/07x69vp,/m/07x69z1,/m/07x688j,/m/07x69tk,/m/07x68n8,/m/07x68yb,/m/07x69g8,/m/07x68_l,/m/07x69c_,/m/07x699r,/m/07x69wt,/m/07x69_5,/m/07x692z,/m/07x68zg,/m/07x6b1g,/m/07x691v,/m/07x6b7j,/m/07x687d,/m/07x6b6d,/m/07x69r9,/m/07x69hf,/m/07x69sf,/m/07x68ty		310.0	09089
Lemon juice	/m/04ggf3y	/m/07x6hkh,/m/07x6hln,/m/07x6hl8,/m/07x6hml,/m/07x6hqj,/m/07x6hl2,/m/07x6hnb,/m/07x6hn4,/m/07x6hlg,/m/07x6hp2,/m/07x6hnj,/m/07x6hkx,/m/07x6hk3,/m/07x6hr3,/m/07x6hq4,/m/07x6hpw,/m/07x6hnx,/m/07x6hm6,/m/07x6hlv,/m/07x6hkp,/m/07x6hnq,/m/07x6hqb,/m/07x6hqy,/m/07x6hr9,/m/07x6hm0,/m/07x6hk9,/m/07x6hmz,/m/07x6hp8,/m/07x6hms,/m/07x6hmd,/m/07x6hqq,/m/07x6hpg		105.0	09152
Hot sauce	/m/04jw1r	/m/07x5r1f,/m/07x5r2s,/m/07x5r2l,/m/07x5r9d,/m/07x5r11,/m/07x5r7j,/m/07x5r8v,/m/07x5r7q,/m/07x5r17,/m/07x5r5g,/m/07x5r1m,/m/07x5r96,/m/07x5r3q,/m/07x5r6s,/m/07x5r5v,/m/07x5r52,/m/07x5r42,/m/07x5r88,/m/07x5r1t,/m/07x5r48,/m/07x5r6d,/m/07x5r20,/m/07x5r2z,/m/07x5r82,/m/07x5r4w,/m/07x5r3x,/m/07x5r34,/m/07x5r7b,/m/07x5r2d,/m/07x5r66,/m/07x5r4j,/m/07x5r60,/m/07x5r5n,/m/07x5r58,/m/07x5r74,/m/07x5r6l,/m/07x5r90,/m/07x5r8g,/m/07x5r7x,/m/07x5r8n,/m/07x5r3j,/m/07x5r6z,/m/07x5r3b,/m/07x5r26		88.0	06961
Kiwifruit	/m/04f8p	/m/07x6g2z,/m/07x6g7v,/m/07x6gf2,/m/07x6fvp,/m/07x6fty,/m/07x6ggl,/m/07x6g4g,/m/07x6fyp,/m/07x6g3b,/m/07x6g1v,/m/07x6g7g,/m/07x6g6q,/m/07x6g1g,/m/07x6gg6,/m/07x6g5l,/m/07x6fwf,/m/07x6fzf,/m/07x6g4v,/m/07x6fy9,/m/07x6g6b,/m/07x6g3q,/m/07x6g5z,/m/07x6fr9,/m/07x6g0b,/m/07x6gc6,/m/07x6gfg,/m/07x6g9b,/m/07x6ft3,/m/07x6g0q,/m/07x6g42,/m/07x6g2l,/m/07x6gfv,/m/07x6g9q,/m/07x6fz1,/m/07x6gdq,/m/07x6fq5,/m/07x6g8z,/m/07x6g72,/m/07x6f_5,/m/07x6fsr,/m/07x6g8l,/m/07x6gbv,/m/07x6fwt,/m/07x6gb2,/m/07x6gcz,/m/07x6frp,/m/07x6fx5,/m/07x6fqk,/m/07x6gcl,/m/07x6ftk,/m/07x6g86,/m/07x6fw1,/m/07x6fqy,/m/07x6gdb,/m/07x6fxy,/m/07x6f_k,/m/07x6fzt,/m/07x6f_y,/m/07x6fxk,/m/07x6g12,/m/07x6fv9,/m/07x6gbg,/m/07x6fpt,/m/07x6g56,/m/07x6g26,/m/07x6fs1		255.0	09148
Ximenia americana	/m/04f393c	/m/07x7556,/m/07x765w,/m/07x75nt,/m/07x73ch,/m/07x75dc,/m/07x75bp,/m/07x758_,/m/07x73px,/m/07x76kv,/m/07x75g1,/m/07x73lj,/m/07x75kf,/m/07x74zf,/m/07x74h7,/m/07x7400,/m/07x75tx,/m/07x753j,/m/07x74rp,/m/07x73gw,/m/07x74cw,/m/07x7645,/m/07x76j4,/m/07x73f5,/m/07x74w1,/m/07x76c1,/m/07x739t,/m/07x762b,/m/07x75qh,/m/07x74lm,/m/07x75y8,/m/07x75zz,/m/07x743f,/m/07x748h,/m/07x756x,/m/07x73jk,/m/07x737t,/m/07x73rl,/m/07x73xn,/m/07x74xr,/m/07x760n,/m/07x741q,/m/07x74fk,/m/07x73vz,/m/07x7363,/m/07x75wl,/m/07x75hr,/m/07x75s5,/m/07x74p_,/m/07x73t8,/m/07x7453,/m/07x76dr,/m/07x73n6,/m/07x74n9,/m/07x74jy,/m/07x74tc,/m/07x74b5,/m/07x734f,/m/07x75m3,/m/07x76gf,/m/07x7504,/m/07x767k,/m/07x746t,/m/07x732r,/m/07x7697,/m/07x73zb,/m/07x751v		192.0	09279
Rigatoni	/m/08vzfb	/m/07xdlc3,/m/07xdm__,/m/07xdm9h,/m/07xdlzt,/m/07xdmqm,/m/07xdn2m,/m/07xdl2t,/m/07xdmlp,/m/07xdlhc,/m/07xdll3,/m/07xdktz,/m/07xdmzp,/m/07xdmgr,/m/07xdkn9,/m/07xdn6k,/m/07xdl9t,/m/07xdnbh,/m/07xdkw8,/m/07xdlf_,/m/07xdl5k,/m/07xdmtf,/m/07xdl8f,/m/07xdlyf,/m/07xdms3,/m/07xdl6_,/m/07xdmbt,/m/07xdlmh,/m/07xdmp9,/m/07xdksl,/m/07xdlny,/m/07xdn95,/m/07xdn7w,/m/07xdkzg,/m/07xdl45,/m/07xdlqc,/m/07xdky0,/m/07xdmd3,/m/07xdnj1,/m/07xdlvm,/m/07xdmff,/m/07xdl18,/m/07xdmvr,/m/07xdm1h,/m/07xdldf,/m/07xdm37,/m/07xdm03,/m/07xdngr,/m/07xdmkc,/m/07xdlx1,/m/07xdlt5,/m/07xdnff,/m/07xdljt,/m/07xdmx1,/m/07xdn57,/m/07xdm6t,/m/07xdkr4,/m/07xdkpv,/m/07xdnct,/m/07xdk_v,/m/07xdmyc,/m/07xdm83,/m/07xdmj1,/m/07xdn3y,/m/07xdm5h,/m/07xdmm_,/m/07xdlrr,/m/07xdn19		1553.0	20099
Jiaogulan	/m/09hr5z	/m/07xb74b,/m/07xb6m8,/m/07xb6kz,/m/07xb6w4,/m/07xb730,/m/07xb6tv,/m/07xb6d5,/m/07xb75n,/m/07xb6nl,/m/07xb6xg,/m/07xb6fh,/m/07xb6px,/m/07xb6sj,/m/07xb71q,/m/07xb6_2,/m/07xb70d,/m/07xb6r6,/m/07xb6ys,/m/07xb6h0,/m/07xb6jb		4.0	14381
Oyster	/m/0_cp5	/m/07xc8yz,/m/07xc9rs,/m/07xc951,/m/07xc8sl,/m/07xc9qg,/m/07xc979,/m/07xc8vv,/m/07xc92n,/m/07xc9sb,/m/07xc9x_,/m/07xc94h,/m/07xc91h,/m/07xc9n6,/m/07xc9fk,/m/07xc9df,/m/07xc936,/m/07xc9b3,/m/07xc8_7,/m/07xc95m,/m/07xc9v5,/m/07xc90c,/m/07xc9vr,/m/07xc9gp,/m/07xc8xm,/m/07xc9g3,/m/07xc8tq,/m/07xc9tg,/m/07xc9w9,/m/07xc9pb,/m/07xc922,/m/07xc9ns,/m/07xc9xf,/m/07xc8wh,/m/07xc96r,/m/07xc9zv,/m/07xc99k,/m/07xc8y5,/m/07xc9sx,/m/07xc9z3,/m/07xc9c9,/m/07xc8t4,/m/07xc9ww,/m/07xc9r6,/m/07xc90y,/m/07xc93y,/m/07xc9yk,/m/07xc9cw,/m/07xc9d_,/m/07xc9bp,/m/07xc9px,/m/07xc9m2,/m/07xc98f,/m/07xc9mn,/m/07xc9ht,/m/07xc9h7,/m/07xc98_,/m/07xc97w,/m/07xc965,/m/07xc9jc,/m/07xc8v8,/m/07xc8zp,/m/07xc8x1,/m/07xc8_t		339.0	15171
Sesame seed	/m/05v6cgd	/m/07x9kmp,/m/07x9kly,/m/07x9kv9,/m/07x9kzf,/m/07x9kg1,/m/07x9kjp,/m/07x9kwt,/m/07x9kf9,/m/07x9krr,/m/07x9kxy,/m/07x9klk,/m/07x9kz1,/m/07x9kqm,/m/07x9kq_,/m/07x9k95,/m/07x9khy,/m/07x9kp3,/m/07x9kfp,/m/07x9kwf,/m/07x9kgt,/m/07x9kbc,/m/07x9ktk,/m/07x9kkf,/m/07x9kl5,/m/07x9kj9,/m/07x9kkt,/m/07x9kn1,/m/07x9k8f,/m/07x9kq7,/m/07x9ksw,/m/07x9kvp,/m/07x9krc,/m/07x9ks3,/m/07x9khk,/m/07x9kty,/m/07x9kph,/m/07x9k81,/m/07x9k8t,/m/07x9kbr,/m/07x9knr,/m/07x9kch,/m/07x9kpw,/m/07x9kk1,/m/07x9kdy,/m/07x9kxk,/m/07x9kw1,/m/07x9km9,/m/07x9kcw,/m/07x9kgf,/m/07x9kdk,/m/07x9ky9,/m/07x9k9k,/m/07x9kx5,/m/07x9kyp,/m/07x9k9_,/m/07x9kc3,/m/07x9kh5,/m/07x9kzt,/m/07x9ksh		2397.0	12023
Mustard plant	/m/06g7kb	/m/07x8j37,/m/07x8hy6,/m/07x8h_g,/m/07x8h8f,/m/07x8jfr,/m/07x8j1q,/m/07x8jgh,/m/07x8hff,/m/07x8htg,/m/07x8h95,/m/07x8hn6,/m/07x8hpq,/m/07x8j06,/m/07x8j3_,/m/07x8hxg,/m/07x8hrz,/m/07x8hqg,/m/07x8hsq,/m/07x8j9_,/m/07x8h9y,/m/07x8hyz,/m/07x8j2h,/m/07x8jd_,/m/07x8jd7,/m/07x8hky,/m/07x8hvz,/m/07x8hbr,/m/07x8j4r,/m/07x8j7r,/m/07x8hnz,/m/07x8hdp,/m/07x8jbr,/m/07x8j6_,/m/07x8j0z,/m/07x8jch,/m/07x8hjf,/m/07x8j97,/m/07x8hwq,/m/07x8hhp,/m/07x8hr6,/m/07x8j67,/m/07x8hmg,/m/07x8hg5,/m/07x8hk5,/m/07x8j8h,/m/07x8hv6,/m/07x8hgy,/m/07x8jk_,/m/07x8jjr,/m/07x8hzq,/m/07x8hlp,/m/07x8hch,/m/07x8jh_,/m/07x8jh7,/m/07x8j5h		109.0	11270
Picon	/m/05n92z9	/m/07xb90x,/m/07xb994,/m/07xb92z,/m/07xb8vc,/m/07xb8xs,/m/07xb9f8,/m/07xb8s9,/m/07xb950,/m/07xb9c6,/m/07xb9hb,/m/07xb9kd,/m/07xb8zv,/m/07xb972		1234.0	14533
Very Best Blueberry Cobbler	/m/0663rq9	/m/0663rtl,/m/0663r_d,/m/0663rsv,/m/0663rtz,/m/0663rt0,/m/0663s0k,/m/0663s0r,/m/0663s0c,/m/0663r_s,/m/0663rtd,/m/0663s0y,/m/0663rts,/m/0663r_l,/m/0663rt6,/m/0663rsn,/m/0663r_6			
Grandma's Homestyle Peanut Butter Cookies	/m/064vpnt	/m/064vpql,/m/064vprw,/m/064vps1,/m/064vptw,/m/064vpqd,/m/064vpt9,/m/064vptp,/m/064vpv1,/m/064vpq0,/m/064vppv,/m/064vpth			
Dry White Wine	/m/05n9367	/m/07xb3l2,/m/07xb3s2,/m/07xb3wv,/m/07xb3xx,/m/07xb3zd,/m/07xb3nb,/m/07xb3rb,/m/07xb3dd,/m/07xb3p2,/m/07xb3yn,/m/07xb3g0,/m/07xb3f4,/m/07xb3pv,/m/07xb3kb,/m/07xb3bg,/m/07xb3tl,/m/07xb3w2,/m/07xb3lv,/m/07xb3hv,/m/07xb3vb,/m/07xb3c6,/m/07xb3ml,/m/07xb39q,/m/07xb3h2,/m/07xb3sv,/m/07xb3ql,/m/07xb3jl		342.0	14106
Brown mustard	/m/0603bw				
Emu Apple	/m/04f5z8v	/m/07x73nd,/m/07x73lq,/m/07x76l0,/m/07x74xy,/m/07x74nh,/m/07x75m9,/m/07x75ws,/m/07x76dy,/m/07x73cp,/m/07x7595,/m/07x73q2,/m/07x739_,/m/07x769f,/m/07x74lt,/m/07x74w7,/m/07x734m,/m/07x75dk,/m/07x741x,/m/07x7369,/m/07x75g7,/m/07x76c7,/m/07x760v,/m/07x7459,/m/07x74fr,/m/07x76gn,/m/07x74zm,/m/07x75qp,/m/07x75_4,/m/07x73jr,/m/07x74hf,/m/07x73tg,/m/07x75hy,/m/07x75sd,/m/07x73rs,/m/07x748p,/m/07x73zj,/m/07x7661,/m/07x743m,/m/07x746_,/m/07x74tk,/m/07x7406,/m/07x75km,/m/07x74bc,/m/07x755d,/m/07x74d1,/m/07x75n_,/m/07x7520,/m/07x767r,/m/07x74q5,/m/07x753q,/m/07x75yg,/m/07x73fc,/m/07x73w4,/m/07x73xv,/m/07x75bw,/m/07x764c,/m/07x732y,/m/07x762j,/m/07x737_,/m/07x73h1,/m/07x74rw,/m/07x76jb,/m/07x750b,/m/07x74k3,/m/07x75v2,/m/07x7572		192.0	09279
Blue cheese	/m/03qp04	/m/07x4lz5,/m/07x4m8x,/m/07x4m98,/m/07x4mbd,/m/07x4m0g,/m/07x4m2b,/m/07x4m3v,/m/07x4m32,/m/07x4l_x,/m/07x4m92,/m/07x4m9g,/m/07x4m9v,/m/07x4m0v,/m/07x4m6g,/m/07x4m08,/m/07x4m54,/m/07x4m7d,/m/07x4m5b,/m/07x4m7s,/m/07x4m4s,/m/07x4m84,/m/07x4m38,/m/07x4m8b,/m/07x4m5x,/m/07x4m9n,/m/07x4m2q,/m/07x4m4z,/m/07x4m2x,/m/07x4lzc,/m/07x4mb0,/m/07x4l_4,/m/07x4m7z,/m/07x4m0n,/m/07x4m40,/m/07x4m8j,/m/07x4m24,/m/07x4m4l,/m/07x4m70,/m/07x4lzy,/m/07x4lzk,/m/07x4m7l,/m/07x4l_q,/m/07x4m1z,/m/07x4m6v,/m/07x4m3g,/m/07x4m1s,/m/07x4m46,/m/07x4m68,/m/07x4m5j,/m/07x4m1l,/m/07x4m10,/m/07x4m16,/m/07x4m62,/m/07x4mb6,/m/07x4lzr,/m/07x4m6n,/m/07x4m8q,/m/07x4m3n,/m/07x4l_j,/m/07x4l_b,/m/07x4m2j,/m/07x4m76,/m/07x4m1d,/m/07x4m4d,/m/07x4m02,/m/07x4m5q		1477.0	01004
Meyer lemon	/m/04klfb	/m/07x6gzw,/m/07x6gv_,/m/07x6hhp,/m/07x6hdp,/m/07x6gyc,/m/07x6hc5,/m/07x6hff,/m/07x6h9p,/m/07x6hbf,/m/07x6hcy,/m/07x6h1f,/m/07x6h5y,/m/07x6h2y,/m/07x6gsr,/m/07x6gz3,/m/07x6gxm,/m/07x6h55,/m/07x6gv7,/m/07x6g_m,/m/07x6h8y,/m/07x6hjf,/m/07x6hg5,/m/07x6h7f,/m/07x6gww,/m/07x6h4f,/m/07x6h0c,/m/07x6h3p,/m/07x6h25,/m/07x6hgy,/m/07x6gth,/m/07x6h85,/m/07x6h6p,/m/07x6grk		84.0	09151
Sesame oil	/m/03nn2g	/m/07x5hxn,/m/07x5hvz,/m/07x5hvs,/m/07x5hxv,/m/07x5hy0,/m/07x5hx2,/m/07x5hwj,/m/07x5hw4,/m/07x5hx8,/m/07x5hwx,/m/07x5hxg,/m/07x5hwb,/m/07x5hv2,/m/07x5hwq,/m/07x5hv9		3699.0	04058
Jameson Irish Whiskey	/m/0hh1gyg	/m/07xb1f1,/m/07xb17f,/m/07xb13c,/m/07xb0wk,/m/07xb11h,/m/07xb199,/m/07xb0yf,/m/07xb1jt,/m/07xb157,/m/07xb0_m,/m/07xb0tp,/m/07xb1gy,/m/07xb1c5		1046.0	14052
Chicken meat	/m/0f25w9	/m/07x5kmm,/m/07x5kft,/m/07x5kmt,/m/07x5khp,/m/07x5km_,/m/07x5ksw,/m/07x5ktf,/m/07x5krr,/m/07x5kpc,/m/07x5kjm,/m/07x5khw,/m/07x5kpk,/m/07x5knt,/m/07x5km7,/m/07x5kgy,/m/07x5kq3,/m/07x5km1,/m/07x5kj7,/m/07x5kkc,/m/07x5kqw,/m/07x5kpr,/m/07x5kjt,/m/07x5kg5,/m/07x5kj_,/m/07x5ksp,/m/07x5khh,/m/07x5kt1,/m/07x5kfl,/m/07x5ktt,/m/07x5kl3,/m/07x5kkr,/m/07x5knm,/m/07x5kq9,/m/07x5kj1,/m/07x5kf4,/m/07x5klh,/m/07x5kqh,/m/07x5ksh,/m/07x5kh9,/m/07x5kgc,/m/07x5kqp,/m/07x5kgr,/m/07x5kgk,/m/07x5klp,/m/07x5kh3,/m/07x5kry,/m/07x5ks9,/m/07x5kn5,/m/07x5kt7,/m/07x5ks3,/m/07x5kp5,/m/07x5kmf,/m/07x5ktm,/m/07x5kr7,/m/07x5kky,/m/07x5kn_,/m/07x5kdz,/m/07x5kk5,/m/07x5kds,/m/07x5kl9,/m/07x5kjf,/m/07x5knf,/m/07x5klw,/m/07x5kpy,/m/07x5kkk,/m/07x5kf_		900.0	05006
